full_address,latitude,longitude,geocode_source,match_score,match_type,matched_address,geocoded_at
"3202 TOWER OAKS BLVD, N BETHESDA, MD 20852",39.062498123353,-77.155325511273,census,100,Exact,"3202 TOWER OAKS BLVD, N BETHESDA, MD, 20852",2026-05-14T21:44:03.798883+00:00
"3357 MARKET PL, LAUREL, MD 20724",39.08027,-76.790561,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"3416 OLANDWOOD CT, OLNEY, MD 20832",39.155980663605,-77.066800934333,census,100,Exact,"3416 OLANDWOOD CT, OLNEY, MD, 20832",2026-05-14T21:44:03.798883+00:00
"3608 OLD YORK RD, BALTIMORE, MD 21218",39.332480510313,-76.607918274977,census,100,Exact,"3608 OLD YORK RD, BALTIMORE, MD, 21218",2026-05-14T21:44:03.798883+00:00
"3625 WESTMOUNT PKWY, ELLICOTT CITY, MD 21042",39.277181,-76.894602,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"3820 MOUNTAIN RD B C, PASADENA, MD 21122",39.123702477893,-76.523601225887,census,50,Non_Exact,"3820 MOUNTAIN RD, PASADENA, MD, 21122",2026-05-14T21:44:03.798883+00:00
"3901 NATIONAL DR, BURTONSVILLE, MD 20866",39.11266063911,-76.932486475846,census,100,Exact,"3901 NATIONAL DR, BURTONSVILLE, MD, 20866",2026-05-14T21:44:03.798883+00:00
"3903 SKYVIEW DR, MOUNT AIRY, MD 21771",39.34464694949,-77.202799595777,census,100,Exact,"3903 SKYVIEW DR, MOUNT AIRY, MD, 21771",2026-05-14T21:44:03.798883+00:00
"4 A N AVE, BEL AIR, MD 21014",39.53584,-76.35161,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"415 WASHINGTON AVE, CHESTERTOWN, MD 21620",39.219100363517,-76.067157888246,census,100,Exact,"415 WASHINGTON AVE, CHESTERTOWN, MD, 21620",2026-05-14T21:44:03.798883+00:00
"41680 MISS BESSIE DR, LEONARDTOWN, MD 20650",38.303816100038,-76.635614440429,census,100,Exact,"41680 MISS BESSIE DR, LEONARDTOWN, MD, 20650",2026-05-14T21:44:03.798883+00:00
"4317 HARFORD RD, BALTIMORE, MD 21214",39.339098740026,-76.573043733737,census,100,Exact,"4317 HARFORD RD, BALTIMORE, MD, 21214",2026-05-14T21:44:03.798883+00:00
"4810 ERDMAN AVE, BALTIMORE, MD 21205",39.30224,-76.564078,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"49 ROCK SPRINGS RD, CONOWINGO, MD 21918",39.679260939023,-76.160484603155,census,100,Exact,"49 ROCK SPRINGS RD, CONOWINGO, MD, 21918",2026-05-14T21:44:03.798883+00:00
"4924 CAMPBELL BLVD, NOTTINGHAM, MD 21236",39.373159735491,-76.460270723753,census,100,Exact,"4924 CAMPBELL BLVD, NOTTINGHAM, MD, 21236",2026-05-14T21:44:03.798883+00:00
"500 CADMUS LN, EASTON, MD 21601",38.763438253812,-76.070304482973,census,100,Exact,"500 CADMUS LN, EASTON, MD, 21601",2026-05-14T21:44:03.798883+00:00
"5000 THAYER CTR, OAKLAND, MD 21550",39.419831999544,-79.400246036599,census,100,Exact,"5000 THAYER CENTER, OAKLAND, MD, 21550",2026-05-14T21:44:03.798883+00:00
"5024 CAMPBELL BLVD, NOTTINGHAM, MD 21236",39.373135357574,-76.45828081816,census,100,Exact,"5024 CAMPBELL BLVD, NOTTINGHAM, MD, 21236",2026-05-14T21:44:03.798883+00:00
"517 MAIN ST, REISTERSTOWN, MD 21136",39.45650655257,-76.825869800874,census,100,Exact,"517 MAIN ST, REISTERSTOWN, MD, 21136",2026-05-14T21:44:03.798883+00:00
"520 UPPER CHESAPEAKE DR, BEL AIR, MD 21014",39.518737675436,-76.346991502359,census,100,Exact,"520 UPPER CHESAPEAKE DR, BEL AIR, MD, 21014",2026-05-14T21:44:03.798883+00:00
"5411 OLD FREDERICK RD, BALTIMORE, MD 21229",39.288903828386,-76.718280680869,census,100,Exact,"5411 OLD FREDERICK RD, BALTIMORE, MD, 21229",2026-05-14T21:44:03.798883+00:00
"5505 HOPKINS BAYVIEW CIR, BALTIMORE, MD 21224",39.289919828025,-76.549671613879,census,100,Exact,"5505 HOPKINS BAYVIEW CIR, BALTIMORE, MD, 21224",2026-05-14T21:44:03.798883+00:00
"5530 WISCONSIN AVE, CHEVY CHASE, MD 20815",38.964264203429,-77.087619813638,census,100,Exact,"5530 WISCONSIN AVE, CHEVY CHASE, MD, 20815",2026-05-14T21:44:03.798883+00:00
"5600 RIVERTECH CT, RIVERDALE, MD 20737",38.962373,-76.915191,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"3060 MITCHELLVILLE RD, BOWIE, MD 20716",38.931662185069,-76.733789126094,census,100,Exact,"3060 MITCHELLVILLE RD, BOWIE, MD, 20716",2026-05-14T21:44:03.798883+00:00
"5755 CEDAR LN, COLUMBIA, MD 21044",39.214959941585,-76.887233168713,census,100,Exact,"5755 CEDAR LN, COLUMBIA, MD, 21044",2026-05-14T21:44:03.798883+00:00
"316 RAILROAD AVE, GOLDSBORO, MD 21636",39.034245879599,-75.785917265304,census,100,Exact,"316 RAILROAD AVE, GOLDSBORO, MD, 21636",2026-05-14T21:44:03.798883+00:00
"6000 EXECUTIVE BLVD, NORTH BETHESDA, MD 20852",39.048252541777,-77.119324399836,census,100,Exact,"6000 EXECUTIVE BLVD, NORTH BETHESDA, MD, 20852",2026-05-14T21:44:03.798883+00:00
"32033 BEAVER RUN DR, SALISBURY, MD 21804",38.376998781057,-75.50110411885,census,100,Exact,"32033 BEAVER RUN DR, SALISBURY, MD, 21804",2026-05-14T21:44:03.798883+00:00
"601 N CAROLINE ST, BALTIMORE, MD 21287",39.296679519554,-76.597421102495,census,50,Non_Exact,"601 N CAROLINE ST, BALTIMORE, MD, 21205",2026-05-14T21:44:03.798883+00:00
"3300 N CALVERT ST, BALTIMORE, MD 21218",39.328419049642,-76.615147596493,census,100,Exact,"3300 N CALVERT ST, BALTIMORE, MD, 21218",2026-05-14T21:44:03.798883+00:00
"6095 MARSHALEE DR, ELKRIDGE, MD 21075",39.204001898596,-76.764715677868,census,100,Exact,"6095 MARSHALEE DR, ELKRIDGE, MD, 21075",2026-05-14T21:44:03.798883+00:00
"3311 TOLEDO TER, HYATTSVILLE, MD 20782",38.968700077985,-76.961841718191,census,100,Exact,"3311 TOLEDO TER, HYATTSVILLE, MD, 20782",2026-05-14T21:44:03.798883+00:00
"610 E DIAMOND AVE, GAITHERSBURG, MD 20877",39.140133547107,-77.183211730191,census,100,Exact,"610 E DIAMOND AVE, GAITHERSBURG, MD, 20877",2026-05-14T21:44:03.798883+00:00
"3421 SWEET AIR RD, PHOENIX, MD 21131",39.516626251354,-76.557766348166,census,100,Exact,"3421 SWEET AIR RD, PHOENIX, MD, 21131",2026-05-14T21:44:03.798883+00:00
"6201 ANNAPOLIS RD, LANDOVER HILLS, MD 20784",38.938598236065,-76.910898408613,census,100,Exact,"6201 ANNAPOLIS RD, LANDOVER HILLS, MD, 20784",2026-05-14T21:44:03.798883+00:00
"3450 LAUREL FORT MEADE RD, LAUREL, MD 20724",39.099996358019,-76.814309623136,census,100,Exact,"3450 LAUREL FORT MEADE RD, LAUREL, MD, 20724",2026-05-14T21:44:03.798883+00:00
"6223 EXECUTIVE BLVD, ROCKVILLE, MD 20852",39.048687637184,-77.124995375898,census,100,Exact,"6223 EXECUTIVE BLVD, ROCKVILLE, MD, 20852",2026-05-14T21:44:03.798883+00:00
"40900 MERCHANTS LN, LEONARDTOWN, MD 20650",38.306290101747,-76.66173353243,census,100,Exact,"40900 MERCHANTS LN, LEONARDTOWN, MD, 20650",2026-05-14T21:44:03.798883+00:00
"6300 BALTIMORE AVE, UNIVERSITY PARK, MD 20782",38.965087436516,-76.939114386078,census,100,Exact,"6300 BALTIMORE AVE, UNIVERSITY PARK, MD, 20782",2026-05-14T21:44:03.798883+00:00
"4240 ALTAMONT PL, WHITE PLAINS, MD 20695",38.587767,-76.9788,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"4660 WILKENS AVE, BALTIMORE, MD 21229",39.264843674956,-76.699019836261,census,100,Exact,"4660 WILKENS AVE, BALTIMORE, MD, 21229",2026-05-14T21:44:03.798883+00:00
"6300 WOODSIDE CT, COLUMBIA, MD 21046",39.197002147004,-76.853345012747,census,100,Exact,"6300 WOODSIDE CT, COLUMBIA, MD, 21046",2026-05-14T21:44:03.798883+00:00
"650 W LOMBARD ST, BALTIMORE, MD 21201",39.28742908643,-76.624840462085,census,100,Exact,"650 W LOMBARD ST, BALTIMORE, MD, 21201",2026-05-14T21:44:03.798883+00:00
"4733 ELM ST, BETHESDA, MD 20814",38.982585401912,-77.094011577452,census,100,Exact,"4733 ELM ST, BETHESDA, MD, 20814",2026-05-14T21:44:03.798883+00:00
"6724 GLENKIRK RD, BALTIMORE, MD 21239",39.378298767462,-76.587888987365,census,100,Exact,"6724 GLENKIRK RD, BALTIMORE, MD, 21239",2026-05-14T21:44:03.798883+00:00
"5 N BENTZ ST, FREDERICK, MD 21701",39.413911927863,-77.415368792122,census,100,Exact,"5 N BENTZ ST, FREDERICK, MD, 21701",2026-05-14T21:44:03.798883+00:00
"7000 SECURITY BLVD, BALTIMORE, MD 21244",39.313057416228,-76.752449822807,census,100,Exact,"7000 SECURITY BLVD, BALTIMORE, MD, 21244",2026-05-14T21:44:03.798883+00:00
"535 OLD WESTMINSTER PIKE, WESTMINSTER, MD 21157",39.560493223903,-76.976879007916,census,100,Exact,"535 OLD WESTMINSTER PIKE, WESTMINSTER, MD, 21157",2026-05-14T21:44:03.798883+00:00
"707 N BROADWAY, BALTIMORE, MD 21205",39.29849493289,-76.594341604472,census,100,Exact,"707 N BROADWAY, BALTIMORE, MD, 21205",2026-05-14T21:44:03.798883+00:00
"547 RIVERSIDE DR, SALISBURY, MD 21801",38.362481046143,-75.606210320661,census,100,Exact,"547 RIVERSIDE DR, SALISBURY, MD, 21801",2026-05-14T21:44:03.798883+00:00
"71 AMOS GARRETT BLVD, ANNAPOLIS, MD 21401",38.974652686029,-76.503097258472,census,100,Exact,"71 AMOS GARRETT BLVD, ANNAPOLIS, MD, 21401",2026-05-14T21:44:03.798883+00:00
"5501 HOPKINS BAYVIEW CIR, BALTIMORE, MD 21224",39.289911059123,-76.549712827723,census,100,Exact,"5501 HOPKINS BAYVIEW CIR, BALTIMORE, MD, 21224",2026-05-14T21:44:03.798883+00:00
"725 FALLSWAY, BALTIMORE, MD 21202",39.298050341982,-76.61045632385,census,50,Non_Exact,"725 THE FALLSWAY, BALTIMORE, MD, 21202",2026-05-14T21:44:03.798883+00:00
"5525 TWIN KNOLLS RD, COLUMBIA, MD 21045",39.22089885969,-76.841474974334,census,100,Exact,"5525 TWIN KNOLLS RD, COLUMBIA, MD, 21045",2026-05-14T21:44:03.798883+00:00
"770 OLD LIBERTY RD, SYKESVILLE, MD 21784",39.408261959773,-76.969080827978,census,100,Exact,"770 OLD LIBERTY RD, SYKESVILLE, MD, 21784",2026-05-14T21:44:03.798883+00:00
"560 BAYVIEW BLVD, BALTIMORE, MD 21224",39.275909,-76.541928,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"801 TOLL HOUSE AVE, FREDERICK, MD 21701",39.425013098189,-77.414592161483,census,100,Exact,"801 TOLL HOUSE AVE, FREDERICK, MD, 21701",2026-05-14T21:44:03.798883+00:00
"560 RIVERSIDE DR, SALISBURY, MD 21801",38.361301131071,-75.607315136934,census,100,Exact,"560 RIVERSIDE DR, SALISBURY, MD, 21801",2026-05-14T21:44:03.798883+00:00
"8040 GEORGIA AVE, SILVER SPRING, MD 20910",38.98886654315,-77.026859155462,census,100,Exact,"8040 GEORGIA AVE, SILVER SPRING, MD, 20910",2026-05-14T21:44:03.798883+00:00
"59 KATE WAGNER RD, WESTMINSTER, MD 21157",39.537532612687,-76.994530889681,census,100,Exact,"59 KATE WAGNER RD, WESTMINSTER, MD, 21157",2026-05-14T21:44:03.798883+00:00
"602 PROVIDENCE RD, TOWSON, MD 21286",39.400891582132,-76.591118039435,census,100,Exact,"602 PROVIDENCE RD, TOWSON, MD, 21286",2026-05-14T21:44:03.798883+00:00
"816 EASLEY ST APT, SILVER SPRING, MD 20910",38.993987468979,-77.022438981067,census,50,Non_Exact,"816 EASLEY ST, SILVER SPRING, MD, 20910",2026-05-14T21:44:03.798883+00:00
"816 WASHINGTON AVE, LA PLATA, MD 20646",38.520653,-76.999915,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"6211 BELAIR RD, BALTIMORE, MD 21206",39.349988386857,-76.536008650744,census,100,Exact,"6211 BELAIR RD, BALTIMORE, MD, 21206",2026-05-14T21:44:03.798883+00:00
"821 N EUTAW ST, BALTIMORE, MD 21201",39.299059828771,-76.621484269583,census,100,Exact,"821 N EUTAW ST, BALTIMORE, MD, 21201",2026-05-14T21:44:03.798883+00:00
"632 FREDERICK RD, CATONSVILLE, MD 21228",39.272369931709,-76.730304334856,census,100,Exact,"632 FREDERICK RD, CATONSVILLE, MD, 21228",2026-05-14T21:44:03.798883+00:00
"831 UNIVERSITY BLVD E, SILVER SPRING, MD 20903",38.994733961606,-76.993004405547,census,100,Exact,"831 UNIVERSITY BLVD E, SILVER SPRING, MD, 20903",2026-05-14T21:44:03.798883+00:00
"6470 DOBBIN RD, COLUMBIA, MD 21045",39.194270146638,-76.820573569404,census,100,Exact,"6470 DOBBIN RD, COLUMBIA, MD, 21045",2026-05-14T21:44:03.798883+00:00
"8503 GREENS LN, WINDSOR MILL, MD 21244",39.356250756695,-76.786313466385,census,100,Exact,"8503 GREENS LN, WINDSOR MILL, MD, 21244",2026-05-14T21:44:03.798883+00:00
"6503 DEER POINTE DR, SALISBURY, MD 21804",38.314082,-75.532106,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"8503 GREENS LN, Windsor Mill, MD 21244",39.356250756695,-76.786313466385,census,100,Exact,"8503 GREENS LN, WINDSOR MILL, MD, 21244",2026-05-14T21:44:03.798883+00:00
"6666 SECURITY BLVD, WOODLAWN, MD 21207",39.312119708884,-76.738645968607,census,100,Exact,"6666 SECURITY BLVD, WOODLAWN, MD, 21207",2026-05-14T21:44:03.798883+00:00
"882 MUDDY BRANCH RD, GAITHERSBURG, MD 20878",39.117585763793,-77.217072513877,census,100,Exact,"882 MUDDY BRANCH RD, GAITHERSBURG, MD, 20878",2026-05-14T21:44:03.798883+00:00
"715 CAMBRIDGE MARKETPLACE BLVD, CAMBRIDGE, MD 21613",38.502789,-76.078875,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"8830 BELAIR RD, BALTIMORE, MD 21236",39.388231,-76.483685,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"7190 CRESTWOOD BLVD, FREDERICK, MD 21703",39.385444573669,-77.416458319022,census,100,Exact,"7190 CRESTWOOD BLVD, FREDERICK, MD, 21703",2026-05-14T21:44:03.798883+00:00
"8835 CHESAPEAKE AVE, NORTH BEACH, MD 20714",38.704103168219,-76.533231494935,census,100,Exact,"8835 CHESAPEAKE AVE, NORTH BEACH, MD, 20714",2026-05-14T21:44:03.798883+00:00
"7211 BANK CT, FREDERICK, MD 21703",39.367031,-77.473482,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"9 DENEISON ST, LUTHERVILLE, MD 21093",39.454358046114,-76.631904660222,census,100,Exact,"9 DENEISON ST, LUTHERVILLE, MD, 21093",2026-05-14T21:44:03.798883+00:00
"7347 HANOVER PKWY, GREENBELT, MD 20770",38.99319539589,-76.87476291431,census,100,Exact,"7347 HANOVER PKWY, GREENBELT, MD, 20770",2026-05-14T21:44:03.798883+00:00
"7450 ALBERT RD, BRANDYWINE, MD 20613",38.671168,-76.805304,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"9151 RUMSEY RD, COLUMBIA, MD 21045",39.232604175739,-76.820240435657,census,100,Exact,"9151 RUMSEY RD, COLUMBIA, MD, 21045",2026-05-14T21:44:03.798883+00:00
"9211 OLD GEORGETOWN RD, BETHESDA, MD 20814",39.006738288699,-77.111779496596,census,100,Exact,"9211 OLD GEORGETOWN RD, BETHESDA, MD, 20814",2026-05-14T21:44:03.798883+00:00
"7801 OLD BRANCH AVE, CLINTON, MD 20735",38.782880589776,-76.898717803271,census,100,Exact,"7801 OLD BRANCH AVE, CLINTON, MD, 20735",2026-05-14T21:44:03.798883+00:00
"933 S TALBOT ST UNIT, ST MICHAELS, MD 21663",38.776789137756,-76.216692119282,census,50,Non_Exact,"933 S TALBOT ST, ST MICHAELS, MD, 21663",2026-05-14T21:44:03.798883+00:00
"7821 MARYKNOLL AVE, BETHESDA, MD 20817",38.989904312242,-77.137113516654,census,100,Exact,"7821 MARYKNOLL AVE, BETHESDA, MD, 20817",2026-05-14T21:44:03.798883+00:00
"9403 HARFORD RD, BALTIMORE, MD 21234",39.392162434764,-76.526869875316,census,100,Exact,"9403 HARFORD RD, BALTIMORE, MD, 21234",2026-05-14T21:44:03.798883+00:00
"7901 BRANCH AVE, CLINTON, MD 20735",38.778949912607,-76.890197467301,census,100,Exact,"7901 BRANCH AVE, CLINTON, MD, 20735",2026-05-14T21:44:03.798883+00:00
"9502 VANCE PL, SILVER SPRING, MD 20901",39.013257876649,-76.996280572054,census,100,Exact,"9502 VANCE PL, SILVER SPRING, MD, 20901",2026-05-14T21:44:03.798883+00:00
"80 SHERRY LN, PRINCE FREDERICK, MD 20678",38.532632791256,-76.584046769299,census,100,Exact,"80 SHERRY LN, PRINCE FREDERICK, MD, 20678",2026-05-14T21:44:03.798883+00:00
"9603 REISTERSTOWN RD, OWINGS MILLS, MD 21117",39.403970183406,-76.757756660378,census,100,Exact,"9603 REISTERSTOWN RD, OWINGS MILLS, MD, 21117",2026-05-14T21:44:03.798883+00:00
"808 S 5TH AVE, DENTON, MD 21629",38.874416213553,-75.826574023247,census,100,Exact,"808 S 5TH AVE, DENTON, MD, 21629",2026-05-14T21:44:03.798883+00:00
"9885 GREENBELT RD, LANHAM, MD 20706",38.96588,-76.851092,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"8125 RITCHIE HWY, PASADENA, MD 21122",39.1243611568,-76.587924558813,census,100,Exact,"8125 RITCHIE HWY, PASADENA, MD, 21122",2026-05-14T21:44:03.798883+00:00
"P O BOX, CHESTERTOWN, MD 21620",39.207952,-76.082801,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"8131 RITCHIE HWY, PASADENA, MD 21122",39.123920535941,-76.587521196421,census,100,Exact,"8131 RITCHIE HWY, PASADENA, MD, 21122",2026-05-14T21:44:03.798883+00:00
"PO BOX, CUMBERLAND, MD 21501",,,failed,,No_Match,,2026-05-14T21:44:03.798883+00:00
"8186 LARK BROWN RD, ELKRIDGE, MD 21075",39.188762412247,-76.794527638784,census,100,Exact,"8186 LARK BROWN RD, ELKRIDGE, MD, 21075",2026-05-14T21:44:03.798883+00:00
"PO BOX, LEONARDTOWN, MD 20650",38.25993,-76.63242,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"8375 CHERRY LN, LAUREL, MD 20707",39.092096829198,-76.862098937067,census,100,Exact,"8375 CHERRY LN, LAUREL, MD, 20707",2026-05-14T21:44:03.798883+00:00
"86 THOMAS JOHNSON CT, FREDERICK, MD 21702",39.448489820001,-77.403162579708,census,100,Exact,"86 THOMAS JOHNSON CT, FREDERICK, MD, 21702",2026-05-14T21:44:03.798883+00:00
"1 CHURCH ST, ROCKVILLE, MD 20850",39.083466835257,-77.146766997519,census,100,Exact,"1 CHURCH ST, ROCKVILLE, MD, 20850",2026-05-14T21:44:03.798883+00:00
"10 N ROCK GLEN RD, BALTIMORE, MD 21229",39.284314119934,-76.700864878674,census,100,Exact,"10 N ROCK GLEN RD, BALTIMORE, MD, 21229",2026-05-14T21:44:03.798883+00:00
"860 HIGH ST, CHESTERTOWN, MD 21620",39.207952,-76.082801,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"100 S CTR ST, THURMONT, MD 21788",39.622731766626,-77.41047159919,census,100,Exact,"100 S CENTER ST, THURMONT, MD, 21788",2026-05-14T21:44:03.798883+00:00
"8603 COMMERCE DR, EASTON, MD 21601",38.785964449328,-76.081822278521,census,100,Exact,"8603 COMMERCE DR, EASTON, MD, 21601",2026-05-14T21:44:03.798883+00:00
"1001 W PRATT ST, BALTIMORE, MD 21223",39.285749095492,-76.633670168983,census,100,Exact,"1001 W PRATT ST, BALTIMORE, MD, 21223",2026-05-14T21:44:03.798883+00:00
"29 S PACA ST, BALTIMORE, MD 21201",39.288485328042,-76.622238088852,census,100,Exact,"29 S PACA ST, BALTIMORE, MD, 21201",2026-05-14T21:44:03.798883+00:00
"9 SAINT PAUL ST, BOONSBORO, MD 21713",39.506887369923,-77.650875896172,census,100,Exact,"9 SAINT PAUL ST, BOONSBORO, MD, 21713",2026-05-14T21:44:03.798883+00:00
"101 N E PLZ, NORTH EAST, MD 21901",39.583057,-75.9668,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"2904 HERB GARDEN DR, URBANA, MD 21704",39.354883,-77.375902,fallback_zip,,No_Match,,2026-05-14T21:44:03.798883+00:00
"900 CATON AVE, BALTIMORE, MD 21229",39.271146504635,-76.670040890529,census,50,Non_Exact,"900 S CATON AVE, BALTIMORE, MD, 21229",2026-05-14T21:44:03.798883+00:00
"10301 GEORGIA AVE MEDICAL PARK W, SILVER SPRING, MD 20902",39.023665582873,-77.045429345191,census,50,Non_Exact,"10301 GEORGIA AVE, SILVER SPRING, MD, 20902",2026-05-14T21:44:03.798883+00:00
"2930 STARRY NIGHT PL, NANJEMOY, MD 20662",38.387384247087,-77.213265059193,census,100,Exact,"2930 STARRY NIGHT PL, NANJEMOY, MD, 20662",2026-05-14T21:44:03.798883+00:00
